Site,MJD,Ord0,GrSpc,GrInc,dGrInc,FL,dFL,Y0,dY0,Z0,dZ0,Glass,Apex,LamCen,Rot,PixSiz,Nx,Nord,Nblock,Nfib,Npoly,Ordwid,Medboxsz,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
"bpl",57282.84000000000,52,24.04420000000000,76.30324000000000,0.05000000000000000,374.7385000000000,0.01000000000000000,-22.33000000000000,0.02000000000000000,0.0002536000000000000,2.000000000000000e-06,"PBM2",55.00000000000000,0.4790000000000000,1.400000000000000,0.01500000000000000,4096,67,12,3,5,10.50000000000000,17.00000000000000,0.003117400000000000,-0.002773500000000000,-0.03620830000000000,-0.009351600000000000,0.04588850000000000,0.1407794000000000,0.03385150000000000,-0.002401200000000000,-0.03172950000000000,0.03072540000000000,-0.003056200000000000,0.01055840000000000,-0.007079800000000000,-0.008947000000000000,-0.006064800000000000,-7.331920000000000,-0.1720660000000000,-0.001057220000000000,-2.187850000000000e-05,-0.001655540000000000,-1.608740000000000e-07,-1.337740000000000e-07,-3.097470000000000e-09,-2.629010000000000e-11,-1.215030000000000e-05,6.535730000000000,0.1821680000000000,0.0009744140000000001,2.292240000000000e-05,0.001726450000000000,1.673730000000000e-07,1.281970000000000e-07,3.121470000000000e-09,3.198240000000000e-11,1.181420000000000e-05
"elp",58590.,52,24.04420000000000,76.35733667,   0.01000000, 374.71238621,   0.01000000, -22.24454229,   0.02000000,   0.00019935,   0.00000200, "PBM2    ",55.00000000000000,0.4790000000000000,1.400000000000000,0.01500000000000000,4096,67,12,3,5,10.50000000000000,17.00000,4.13550892e-03, -1.14312658e-03, -3.37147367e-02, -8.56406088e-03,  4.47792583e-02,  1.38906989e-01,  3.20851357e-02, -2.03525513e-03, -3.11884679e-02,  3.07145522e-02, -2.92601244e-03,  1.03641697e-02, -8.66726564e-03, -8.79561340e-03, -6.60841549e-03,6.61986126e+00,  5.86613052e+00,  1.99559384e+00,  1.32615589e+00,  1.04786143e+00,  1.50289295e-01,  2.98403840e-01,  1.60157547e-01,  4.77277915e-02,  1.80319834e-01, -6.61986126e+00, -5.86613052e+00, -1.99559384e+00, -1.32615589e+00, -1.04786143e+00, -1.50289295e-01, -2.98403840e-01, -1.60157547e-01, -4.77277915e-02, -1.80319834e-01
"cpt",58590.,52,24.04420000000000,76.35733667,   0.01000000, 374.71238621,   0.01000000, -22.24454229,   0.02000000,   0.00019935,   0.00000200, "PBM2    ",55.00000000000000,0.4790000000000000,1.400000000000000,0.01500000000000000,4096,67,12,3,5,10.50000000000000,17.00000,4.13550892e-03, -1.14312658e-03, -3.37147367e-02, -8.56406088e-03,  4.47792583e-02,  1.38906989e-01,  3.20851357e-02, -2.03525513e-03, -3.11884679e-02,  3.07145522e-02, -2.92601244e-03,  1.03641697e-02, -8.66726564e-03, -8.79561340e-03, -6.60841549e-03,6.01450810e+00,  5.70507469e+00,  1.75111080e+00,  1.28668730e+00,  1.02554245e+00,  4.43012859e-02,  2.76126496e-01,  2.36939572e-01,  1.30981191e-02,  1.09350111e-01, -7.32151186e+00, -6.18993980e+00, -2.02210127e+00, -1.04244252e+00, -1.27125606e+00, -1.43356713e-01, -2.02847962e-01,  2.41194652e-02, -2.92905943e-02, -2.37579162e-01
"lsc",58590.,52,24.04420000000000,76.35733667,   0.01000000, 374.71238621,   0.01000000, -22.24454229,   0.02000000,   0.00019935,   0.00000200, "PBM2    ",55.00000000000000,0.4790000000000000,1.400000000000000,0.01500000000000000,4096,67,12,3,5,10.50000000000000,17.00000, 0.00334268,-0.00282493,-0.0362073,-0.00995265,0.0445935,0.138826,0.0319372,-0.00203002,-0.0305926,0.0305314,-0.00413377,0.0101833,-0.00764278,-0.00894450,-0.00625519, 6.98629467e+00,  6.03042669e+00,  2.06831356e+00,  1.28986322e+00,  1.19160872e+00,  2.75548093e-01,  2.61732027e-01,  1.49748954e-01,  1.73979657e-02,  1.88137544e-01, -7.77554937e+00, -6.69493349e+00, -2.50576877e+00, -1.74206527e+00, -1.49098937e+00, -4.64595383e-01, -3.55122490e-01, -5.25343271e-01, -1.21210616e-01, -8.62659472e-02
"tlv",58590.,52,24.04420000000000,76.35733667,   0.01000000, 374.71238621,   0.01000000, -22.24454229,   0.02000000,   0.00019935,   0.00000200, "PBM2    ",55.00000000000000,0.4790000000000000,1.400000000000000,0.01500000000000000,4096,67,12,3,5,10.50000000000000,17.00000, 0.00334268,-0.00282493,-0.0362073,-0.00995265,0.0445935,0.138826,0.0319372,-0.00203002,-0.0305926,0.0305314,-0.00413377,0.0101833,-0.00764278,-0.00894450,-0.00625519, 4.89564580e+00,  4.64573697e+00,  2.29372601e+00,  2.09292269e+00,  2.40584206e-01,  1.44696499e+00,  4.79994030e-01,  5.60969859e-01, -8.69572530e-03, -5.53425423e-01, -4.89564580e+00, -4.64573697e+00, -2.29372601e+00, -2.09292269e+00, -2.40584206e-01, -1.44696499e+00, -4.79994030e-01, -5.60969859e-01,  8.69572530e-03,  5.53425423e-01
