Site,MJD,camera,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.009119020393191,5.963422406539928,2.113810225147460,1.379382299926099,1.169823228841625,0.2113903291601907,0.3535822229653582,0.3240287060089249,0.06356053952047300,0.05915960489246497,-7.740498130111322,-6.710016780750131,-2.471407510824986,-1.605990842913601,-1.429104933710298,-0.4753014090955983,-0.3424564508042960,-0.4022777483406215,-0.09932183700212310,-0.1538848636754234
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.249748900,"fa09",6.969178528237278,5.947236254875744,2.043678150915512,1.295526785308735,1.149888170047012,0.1484255699768440,0.2699305272345126,0.1611797801132548,0.05301687761159445,0.1302945899464345,-7.745302657798019,-6.688007439223246,-2.463390067825455,-1.604446202797527,-1.429845424041476,-0.4200761096884971,-0.3458185226776202,-0.4708275955131322,-0.1045726770899022,-0.1162280736804062
"lsc",2458584.249748900,"fa09",6.967629286805849,5.923431629875612,2.062465904178261,1.298725091461715,1.142639937175662,0.1986441336707108,0.2746603159262698,0.1607929739916150,0.04768596556105623,0.1054501772609104,-7.737436273749709,-6.702159076311811,-2.456615880832635,-1.607427873954379,-1.419381146222145,-0.3989270900054769,-0.3427437086011451,-0.4223922824582633,-0.1078055010223034,-0.1407189828455869
"lsc",2458584.249748900,"fa09",6.967603693375564,5.923350662404347,2.062438737599431,1.298682232694150,1.142591578378341,0.1985934892108641,0.2746502951758863,0.1607743627686234,0.04768732279138813,0.1053961342608327,-7.736256380399579,-6.687704653974423,-2.457522528044617,-1.608319417286236,-1.415642798677884,-0.4018407829919786,-0.3434081979207974,-0.4242404456354287,-0.1070744166723872,-0.1254720099036113
"lsc",2458584.249748900,"fa09",6.967629286805849,5.923431629875612,2.062465904178261,1.298725091461715,1.142639937175662,0.1986441336707108,0.2746603159262698,0.1607929739916150,0.04768596556105623,0.1054501772609104,-7.737436438403690,-6.702166877664872,-2.456619650510309,-1.607430597470764,-1.419380317891534,-0.3989361587837312,-0.3427450024784199,-0.4223974551562246,-0.1078056120358458,-0.1407245173724297
"lsc",2458584.249748900,"fa09",6.967629286805849,5.923431629875612,2.062465904178261,1.298725091461715,1.142639937175662,0.1986441336707108,0.2746603159262698,0.1607929739916150,0.04768596556105623,0.1054501772609104,-7.737436438403690,-6.702166877664872,-2.456619650510309,-1.607430597470764,-1.419380317891534,-0.3989361587837312,-0.3427450024784199,-0.4223974551562246,-0.1078056120358458,-0.1407245173724297
"lsc",2458584.252542300,"fa09",6.996971876774730,5.994614022399989,2.105158436496325,1.393227758221555,1.180727445417558,0.2110090297024250,0.3168263080352821,0.2421259159853381,0.06072583238880359,0.1453620598056700,-7.752924278054130,-6.713331831675561,-2.488068563383019,-1.645377898930774,-1.442690220372020,-0.4490288177331407,-0.3523821062582241,-0.4449759656204400,-0.1137015792273096,-0.1343701252214268
