Selected Redman 2013 ThAr lines.  Vacuum lam from energy levels.
lambda(nm)    Bright  dlambda(nm)
 409.5902670   6100.  0.0000040
 409.7231890   1600.  0.0000017
 409.8903671   5700.  0.0000009
 409.9888226    960.  0.0000017
 410.0089480    800.  0.0000070
 410.1498408  15000.  0.0000007
 410.3775480   1600.  0.0000050
 410.5996850    720.  0.0000090
 410.6488590    640.  0.0000070
 410.8209510    920.  0.0000080
 410.8445380    630.  0.0000100
 410.9020470    730.  0.0000040
 410.9579100   4800.  0.0000040
 411.0482860   2200.  0.0000040
 411.1794970    550.  0.0000120
 411.1985930   1900.  0.0000060
 411.3914776  18000.  0.0000009
 411.6920100   3400.  0.0000040
 411.7875080   4500.  0.0000040
 412.8576120   3400.  0.0000060
 413.2167247   5600.  0.0000024
 413.3918870   2200.  0.0000070
 413.5122790    940.  0.0000050
 413.5233915   4100.  0.0000013
 413.5279180    950.  0.0000060
 413.6646190    900.  0.0000050
 413.7452070    840.  0.0000080
 413.9207550    700.  0.0000040
 414.1402580   1500.  0.0000060
 414.3869200   3500.  0.0000050
 414.4817482    960.  0.0000020
 414.9351240    930.  0.0000070
 415.1157110   1500.  0.0000050
 415.1259199   1300.  0.0000020
 415.5891770    670.  0.0000040
 415.7409950    430.  0.0000080
 415.7688370   1300.  0.0000050
 415.8452480   1100.  0.0000070
 415.8567840    610.  0.0000030
 415.9707570   2400.  0.0000050
 416.2912000    670.  0.0000050
 416.3682360   1600.  0.0000050
 416.4820720    690.  0.0000070
 416.6940431   5500.  0.0000019
 416.9809150    740.  0.0000060
 417.1708742   7300.  0.0000018
 417.4623330    420.  0.0000050
 417.8342130    230.  0.0000080
 417.9237240   2400.  0.0000050
 418.0025684    970.  0.0000019
 418.0397883   1500.  0.0000010
 418.0491930    750.  0.0000040
 418.0795701   1300.  0.0000020
 418.0892910   2400.  0.0000050
 418.1138070    900.  0.0000050
 418.5316600    590.  0.0000030
 419.2208660     30.  0.0000120
 419.3543190    840.  0.0000050
 419.4197790   2900.  0.0000040
 419.6118008   2300.  0.0000023
 419.7014430    240.  0.0000160
 420.0814510    310.  0.0000160
 420.3030450    610.  0.0000070
 420.5068330    320.  0.0000040
 420.5225690    870.  0.0000050
 420.9596190    740.  0.0000050
 420.9934090    460.  0.0000060
 421.0050218    910.  0.0000013
 421.0076230   3200.  0.0000040
 421.1158580   1100.  0.0000030
 421.1274600    400.  0.0000080
 421.1641520    370.  0.0000100
 421.1950936   3600.  0.0000024
 421.2109241  16000.  0.0000010
 421.4253910   2100.  0.0000030
 421.4564740    630.  0.0000070
 421.6015579   1800.  0.0000012
 421.7257300    720.  0.0000070
 421.7559770    600.  0.0000030
 422.1253590    940.  0.0000040
 422.1921170    450.  0.0000030
 422.4629850   1000.  0.0000050
 422.4782860    720.  0.0000040
 422.7915820  42000.  0.0000150
 422.8577660   1900.  0.0000050
 423.0338722   2600.  0.0000016
 423.1617930   2000.  0.0000050
 423.6656109  12000.  0.0000009
 424.2288856    590.  0.0000018
 424.8794660    440.  0.0000090
 424.9055200    270.  0.0000110
 424.9185110    690.  0.0000060
 424.9586820    870.  0.0000020
 425.1511045  13000.  0.0000008
 425.1538690   1300.  0.0000060
 425.1971440    640.  0.0000030
 425.4735860   1900.  0.0000070
 425.6434404    800.  0.0000012
 425.6995110    660.  0.0000040
 425.7451740   2800.  0.0000030
 425.8694574  11000.  0.0000010
 425.9719085   1800.  0.0000021
 426.1532130   1500.  0.0000050
 426.3812150    660.  0.0000100
 427.1144290    980.  0.0000050
 427.3505480   1800.  0.0000030
 427.4076880   1800.  0.0000050
 427.4560020   2200.  0.0000040
 427.5227520    380.  0.0000130
 427.8010670    970.  0.0000050
 427.8517500   6000.  0.0000030
 427.9527100   2400.  0.0000070
 428.1772450   1700.  0.0000030
 428.2272400   1200.  0.0000030
 428.2619200    770.  0.0000070
 428.3246140   4500.  0.0000030
 428.3293780   1200.  0.0000024
 428.4310040    790.  0.0000090
